t,n_alive,new_deaths,cum_deaths,pregnancy.pregnancies,pregnancy.births,pregnancy.cbr,deaths.new,deaths.cumulative,deaths.cmr,hiv.n_on_art,hiv.n_susceptible,hiv.n_infected,hiv.prevalence,hiv.new_infections,hiv.cum_infections,hiv.new_deaths,hiv.Agent10_cd4,hiv.Agent10_V_level,hiv.Agent11_cd4,hiv.Agent11_V_level
1990.6931506849214,10109753.8871,998.0999,99809.99,998.0999,0.0,0.0,998.0999,72861.29270000005,9.872642906506072e-05,0.0,9149581.783300001,960172.1038,0.09497482476058841,0.0,996103.7002000001,0,500,0,100,0
1990.6958904109488,10111750.086900001,0.0,100808.0899,1996.1998,0.0,0.0,0.0,72861.29270000005,0.0,0.0,9151577.9831,960172.1038,0.09495607541210146,0.0,996103.7002000001,0,500,0,100,0
1990.6986301369761,10112748.186800001,0.0,100808.0899,998.0999,0.0,0.0,0.0,72861.29270000005,0.0,0.0,9152576.083,960172.1038,0.09494670351362021,0.0,996103.7002000001,0,500,0,100,0
1990.7013698630035,10112748.186800001,0.0,100808.0899,0.0,0.0,0.0,0.0,72861.29270000005,0.0,0.0,9152576.083,960172.1038,0.09494670351362021,0.0,996103.7002000001,0,500,0,100,0
1990.7041095890308,10112748.186800001,0.0,100808.0899,0.0,0.0,0.0,0.0,72861.29270000005,0.0,0.0,9152576.083,960172.1038,0.09494670351362021,0.0,996103.7002000001,0,500,0,100,0
1990.7068493150582,10115742.4865,0.0,100808.0899,2994.2997,0.0,0.0,0.0,72861.29270000005,0.0,0.0,9155570.3827,960172.1038,0.0949185989146522,0.0,996103.7002000001,0,500,0,100,0
1990.7095890410856,10116740.5864,0.0,100808.0899,998.0999,0.0,0.0,0.0,72861.29270000005,0.0,0.0,9156568.4826,960172.1038,0.09490923441199685,0.0,996103.7002000001,0,500,0,100,0
1990.712328767113,10116740.5864,998.0999,100808.0899,998.0999,0.0,0.0,998.0999,73859.39260000005,9.865824782951855e-05,0.0,9156568.4826,960172.1038,0.09490923441199685,0.0,996103.7002000001,0,500,0,100,0
1990.7150684931403,10117738.6863,0.0,101806.18980000001,998.0999,0.0,0.0,0.0,73859.39260000005,0.0,0.0,9157566.5825,960172.1038,0.09489987175693006,0.0,996103.7002000001,0,500,0,100,0
1990.7178082191676,10116740.5864,2994.2997,101806.18980000001,1996.1998,0.0,0.0,998.0999,74857.49250000005,9.865824782951855e-05,0.0,9158564.682400001,958175.9040000001,0.0947119179163378,0.0,996103.7002000001,2,500,0,100,0
1990.720547945195,10117738.6863,0.0,104800.48950000001,998.0999,0.0,0.0,0.0,74857.49250000005,0.0,0.0,9159562.782300001,958175.9040000001,0.09470257472625036,0.0,996103.7002000001,0,500,0,100,0
1990.7232876712224,10118736.7862,0.0,104800.48950000001,998.0999,0.0,0.0,0.0,74857.49250000005,0.0,0.0,9160560.8822,958175.9040000001,0.09469323337936476,0.0,996103.7002000001,0,500,0,100,0
1990.7260273972497,10118736.7862,998.0999,104800.48950000001,998.0999,0.0,0.0,0.0,74857.49250000005,0.0,0.0,9161558.9821,957177.8041000001,0.0945945945945946,0.0,996103.7002000001,1,500,0,100,0
1990.728767123277,10122729.185800001,0.0,105798.58940000001,3992.3996,0.0,0.0,0.0,74857.49250000005,0.0,0.0,9165551.3817,957177.8041000001,0.09455728653125617,0.0,996103.7002000001,0,500,0,100,0
